date,close,change,volume,open,high,low
02/03/2010,4.71,0(0.00 %),194250,80.0,80.0,79.5
01/03/2010,4.71,2(2.56 %),69350,80.5,80.5,80.0
26/02/2010,4.59,-2.5(-3.11 %),685260,80.0,80.0,78.0
25/02/2010,4.74,0(0.00 %),268610,80.5,81.5,79.5
24/02/2010,4.74,0(0.00 %),187720,80.0,81.0,80.0
23/02/2010,4.74,-3(-3.59 %),129220,81.5,82.0,80.0
22/02/2010,4.92,-0.5(-0.60 %),156270,84.5,84.5,83.0
12/02/2010,4.94,0.5(0.60 %),269440,85.0,85.0,83.5
11/02/2010,4.92,1.5(1.83 %),142740,83.0,83.5,82.0
10/02/2010,4.83,2.5(3.14 %),68750,81.5,82.0,81.5
09/02/2010,4.68,-3.5(-4.22 %),202980,81.5,83.0,79.5
08/02/2010,4.89,2(2.47 %),165000,80.5,83.0,80.5
05/02/2010,4.77,-3.5(-4.14 %),252750,83.5,84.0,80.5
04/02/2010,4.97,0(0.00 %),417620,84.0,85.0,83.5
03/02/2010,4.97,3.5(4.32 %),688030,83.5,84.5,82.0
02/02/2010,4.77,3(3.85 %),401340,80.0,81.0,79.5
01/02/2010,4.59,1(1.30 %),122980,76.5,79.0,76.5
29/01/2010,4.53,-1(-1.28 %),100130,77.5,78.0,77.0
28/01/2010,4.59,0(0.00 %),37340,77.0,78.5,77.0
27/01/2010,4.59,-3(-3.70 %),125540,81.0,81.0,78.0
26/01/2010,4.77,2.5(3.18 %),126830,80.0,81.0,78.5
25/01/2010,4.62,0.5(0.64 %),44160,78.0,78.5,78.0
22/01/2010,4.59,0(0.00 %),132330,78.0,78.5,76.5
21/01/2010,4.59,-1(-1.27 %),226540,78.0,79.0,77.5
20/01/2010,4.65,1.5(1.94 %),344660,79.5,80.0,77.5
19/01/2010,4.56,1.5(1.97 %),125670,78.0,78.5,76.5
18/01/2010,4.47,-1.5(-1.94 %),142680,77.0,77.0,76.0
15/01/2010,4.56,-1.5(-1.90 %),81780,79.0,79.0,77.5
14/01/2010,4.65,0.5(0.64 %),124220,80.0,80.0,78.0
13/01/2010,4.62,2.5(3.29 %),146230,76.0,78.5,75.0
12/01/2010,4.47,-1.5(-1.94 %),226250,77.0,78.0,76.0
11/01/2010,4.56,-0.5(-0.64 %),126590,79.5,79.5,76.5
08/01/2010,4.59,-2.5(-3.11 %),161560,82.0,82.0,78.0
07/01/2010,4.74,-0.5(-0.62 %),102720,81.0,81.5,80.0
06/01/2010,4.77,-1.5(-1.82 %),94870,82.5,83.5,79.5
05/01/2010,4.86,0(0.00 %),200040,85.5,85.5,82.5
04/01/2010,4.86,3.5(4.43 %),235620,81.0,82.5,79.0
31/12/2009,4.65,1(1.28 %),202760,79.0,79.5,78.0
30/12/2009,4.59,1(1.30 %),102710,77.5,78.5,77.0
29/12/2009,4.53,-2(-2.53 %),178940,79.0,79.0,76.5
28/12/2009,4.65,-2(-2.47 %),285790,81.0,81.5,79.0
25/12/2009,4.77,2(2.53 %),148480,80.0,81.5,80.0
24/12/2009,4.65,2(2.60 %),298960,78.0,79.0,76.5
23/12/2009,4.53,3.5(4.76 %),338470,76.5,77.0,75.0
22/12/2009,4.33,3.5(5.00 %),177150,73.5,73.5,73.5
21/12/2009,4.12,3(4.48 %),60410,70.0,70.0,70.0
18/12/2009,3.94,-3(-4.29 %),533620,70.0,73.5,67.0
17/12/2009,4.12,-2(-2.78 %),239330,69.0,71.0,69.0
16/12/2009,4.24,-2.5(-3.36 %),250450,74.5,74.5,72.0
15/12/2009,4.39,0.5(0.68 %),143720,73.5,75.0,73.5
14/12/2009,4.36,3.5(4.96 %),158620,72.0,74.0,72.0
11/12/2009,4.18,-1(-1.37 %),230670,70.5,73.0,70.5
10/12/2009,4.24,-0.5(-0.68 %),395690,74.5,74.5,73.0
09/12/2009,4.26,-3(-3.92 %),314220,74.0,74.5,73.0
08/12/2009,4.44,-1(-1.29 %),101630,76.5,77.5,76.0
07/12/2009,4.5,1.5(1.97 %),116970,75.0,77.5,75.0
04/12/2009,4.41,0(0.00 %),224910,78.0,78.0,75.5
03/12/2009,4.41,-2(-2.56 %),527820,76.0,78.5,76.0
